SubID,PartnerID,dyad,computer,subjectInitials,raName,sessionTime,sessionDate,timestamp,taskOrder,Rating,EmoRating,EmoRating_Person,Time,stopTime,Movietime,Shift,Description,trialNumber,softwareVersion
23132,123,1,Left,123,123,00:32,13213-12-31,2026-06-10T08:18:53.355Z,1,59.92,NA,self,1.30,150,0.00,0,,1,2.0.0
23132,123,1,Left,123,123,00:32,13213-12-31,2026-06-10T08:18:53.460Z,1,60.70,NA,self,1.41,150,0.11,0,,1,2.0.0
23132,123,1,Left,123,123,00:32,13213-12-31,2026-06-10T08:18:53.556Z,1,29.92,NA,self,1.51,150,0.21,0,,1,2.0.0
23132,123,1,Left,123,123,00:32,13213-12-31,2026-06-10T08:18:53.650Z,1,22.34,NA,self,1.60,150,0.30,0,,1,2.0.0
23132,123,1,Left,123,123,00:32,13213-12-31,2026-06-10T08:18:53.760Z,1,22.50,NA,self,1.71,150,0.41,0,,1,2.0.0
23132,123,1,Left,123,123,00:32,13213-12-31,2026-06-10T08:18:53.854Z,1,22.50,NA,self,1.80,150,0.50,0,,1,2.0.0
23132,123,1,Left,123,123,00:32,13213-12-31,2026-06-10T08:18:53.961Z,1,22.66,NA,self,1.91,150,0.61,0,,1,2.0.0
23132,123,1,Left,123,123,00:32,13213-12-31,2026-06-10T08:18:54.053Z,1,45.63,NA,self,2.00,150,0.70,0,,1,2.0.0
23132,123,1,Left,123,123,00:32,13213-12-31,2026-06-10T08:18:54.162Z,1,84.61,NA,self,2.11,150,0.81,0,,1,2.0.0
23132,123,1,Left,123,123,00:32,13213-12-31,2026-06-10T08:18:54.252Z,1,83.98,NA,self,2.20,150,0.90,0,,1,2.0.0
23132,123,1,Left,123,123,00:32,13213-12-31,2026-06-10T08:18:54.360Z,1,83.67,NA,self,2.31,150,1.01,0,,1,2.0.0
23132,123,1,Left,123,123,00:32,13213-12-31,2026-06-10T08:18:54.455Z,1,47.50,NA,self,2.40,150,1.10,0,,1,2.0.0
23132,123,1,Left,123,123,00:32,13213-12-31,2026-06-10T08:18:54.559Z,1,21.41,NA,self,2.51,150,1.21,0,,1,2.0.0
23132,123,1,Left,123,123,00:32,13213-12-31,2026-06-10T08:18:54.657Z,1,21.72,NA,self,2.61,150,1.31,0,,1,2.0.0
23132,123,1,Left,123,123,00:32,13213-12-31,2026-06-10T08:18:54.760Z,1,21.95,NA,self,2.71,150,1.41,0,,1,2.0.0
23132,123,1,Left,123,123,00:32,13213-12-31,2026-06-10T08:18:54.862Z,1,64.38,NA,self,2.81,150,1.51,0,,1,2.0.0
23132,123,1,Left,123,123,00:32,13213-12-31,2026-06-10T08:18:54.954Z,1,88.59,NA,self,2.90,150,1.60,0,,1,2.0.0
23132,123,1,Left,123,123,00:32,13213-12-31,2026-06-10T08:18:55.051Z,1,88.59,NA,self,3.00,150,1.70,0,,1,2.0.0
23132,123,1,Left,123,123,00:32,13213-12-31,2026-06-10T08:18:55.157Z,1,87.27,NA,self,3.11,150,1.81,0,,1,2.0.0
23132,123,1,Left,123,123,00:32,13213-12-31,2026-06-10T08:18:55.252Z,1,87.19,NA,self,3.20,150,1.90,0,,1,2.0.0
23132,123,1,Left,123,123,00:32,13213-12-31,2026-06-10T08:18:55.360Z,1,63.28,NA,self,3.31,150,2.01,0,,1,2.0.0
23132,123,1,Left,123,123,00:32,13213-12-31,2026-06-10T08:18:55.451Z,1,24.22,NA,self,3.40,150,2.10,0,,1,2.0.0
23132,123,1,Left,123,123,00:32,13213-12-31,2026-06-10T08:18:55.560Z,1,25.23,NA,self,3.51,150,2.21,0,,1,2.0.0
23132,123,1,Left,123,123,00:32,13213-12-31,2026-06-10T08:18:55.653Z,1,25.23,NA,self,3.60,150,2.30,0,,1,2.0.0
23132,123,1,Left,123,123,00:32,13213-12-31,2026-06-10T08:18:55.761Z,1,38.59,NA,self,3.71,150,2.41,0,,1,2.0.0
23132,123,1,Left,123,123,00:32,13213-12-31,2026-06-10T08:18:55.856Z,1,89.14,NA,self,3.81,150,2.51,0,,1,2.0.0
23132,123,1,Left,123,123,00:32,13213-12-31,2026-06-10T08:18:55.956Z,1,89.22,NA,self,3.91,150,2.61,0,,1,2.0.0
23132,123,1,Left,123,123,00:32,13213-12-31,2026-06-10T08:18:56.058Z,1,88.75,NA,self,4.01,150,2.71,0,,1,2.0.0
23132,123,1,Left,123,123,00:32,13213-12-31,2026-06-10T08:18:56.152Z,1,73.20,NA,self,4.10,150,2.80,0,,1,2.0.0
23132,123,1,Left,123,123,00:32,13213-12-31,2026-06-10T08:18:56.251Z,1,21.33,NA,self,4.20,150,2.90,0,,1,2.0.0
23132,123,1,Left,123,123,00:32,13213-12-31,2026-06-10T08:18:56.356Z,1,22.66,NA,self,4.31,150,3.00,0,,1,2.0.0
23132,123,1,Left,123,123,00:32,13213-12-31,2026-06-10T08:18:56.452Z,1,22.66,NA,self,4.40,150,3.10,0,,1,2.0.0
23132,123,1,Left,123,123,00:32,13213-12-31,2026-06-10T08:18:56.555Z,1,22.89,NA,self,4.50,150,3.20,0,,1,2.0.0
23132,123,1,Left,123,123,00:32,13213-12-31,2026-06-10T08:18:56.664Z,1,22.89,NA,self,4.61,150,3.31,0,,1,2.0.0
23132,123,1,Left,123,123,00:32,13213-12-31,2026-06-10T08:18:56.758Z,1,22.89,NA,self,4.71,150,3.41,0,,1,2.0.0
