SubID,PartnerID,dyad,computer,subjectInitials,raName,sessionTime,sessionDate,timestamp,taskOrder,Rating,EmoRating,EmoRating_Person,Time,stopTime,Movietime,Shift,Description,trialNumber,softwareVersion
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:01:06.090Z,1,50.00,NA,self,0.70,150,0.04,0,,1,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:01:06.186Z,1,50.00,NA,self,0.80,150,0.14,0,,1,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:01:06.288Z,1,49.69,NA,self,0.90,150,0.24,0,,1,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:01:06.388Z,1,49.69,NA,self,1.00,150,0.34,0,,1,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:01:06.487Z,1,53.91,NA,self,1.10,150,0.44,0,,1,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:01:06.586Z,1,55.94,NA,self,1.20,150,0.54,0,,1,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:01:06.687Z,1,60.16,NA,self,1.30,150,0.64,0,,1,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:01:06.787Z,1,52.34,NA,self,1.40,150,0.74,0,,1,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:01:06.887Z,1,32.73,NA,self,1.50,150,0.84,0,,1,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:01:06.988Z,1,31.87,NA,self,1.60,150,0.94,0,,1,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:01:07.087Z,1,62.42,NA,self,1.70,150,1.04,0,,1,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:01:07.191Z,1,65.16,NA,self,1.80,150,1.14,0,,1,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:01:07.287Z,1,65.16,NA,self,1.90,150,1.24,0,,1,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:01:07.387Z,1,51.88,NA,self,2.00,150,1.34,0,,1,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:01:07.487Z,1,31.48,NA,self,2.10,150,1.44,0,,1,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:01:07.586Z,1,31.17,NA,self,2.20,150,1.54,0,,1,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:01:07.687Z,1,58.83,NA,self,2.30,150,1.64,0,,1,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:01:07.787Z,1,66.88,NA,self,2.40,150,1.74,0,,1,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:01:07.886Z,1,67.03,NA,self,2.50,150,1.84,0,,1,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:01:07.988Z,1,41.25,NA,self,2.60,150,1.94,0,,1,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:01:08.087Z,1,18.28,NA,self,2.70,150,2.04,0,,1,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:01:08.187Z,1,18.91,NA,self,2.80,150,2.14,0,,1,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:01:08.288Z,1,45.70,NA,self,2.90,150,2.24,0,,1,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:01:08.387Z,1,67.97,NA,self,3.00,150,2.34,0,,1,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:01:08.486Z,1,67.97,NA,self,3.10,150,2.44,0,,1,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:01:08.587Z,1,69.06,NA,self,3.20,150,2.54,0,,1,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:01:08.688Z,1,69.14,NA,self,3.30,150,2.64,0,,1,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:01:08.787Z,1,36.09,NA,self,3.40,150,2.74,0,,1,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:01:08.886Z,1,21.88,NA,self,3.50,150,2.84,0,,1,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:01:08.988Z,1,21.80,NA,self,3.60,150,2.94,0,,1,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:01:09.088Z,1,37.66,NA,self,3.70,150,3.04,0,,1,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:01:09.187Z,1,64.30,NA,self,3.80,150,3.14,0,,1,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:01:09.295Z,1,67.97,NA,self,3.91,150,3.25,0,,1,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:01:09.388Z,1,67.97,NA,self,4.00,150,3.34,0,,1,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:01:09.488Z,1,42.97,NA,self,4.10,150,3.44,0,,1,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:01:09.587Z,1,21.56,NA,self,4.20,150,3.54,0,,1,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:01:09.687Z,1,21.33,NA,self,4.30,150,3.64,0,,1,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:01:09.787Z,1,48.44,NA,self,4.40,150,3.74,0,,1,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:01:09.887Z,1,70.16,NA,self,4.50,150,3.84,0,,1,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:01:09.986Z,1,71.88,NA,self,4.60,150,3.94,0,,1,2.0.0
